,Unnamed: 0,Name,Symbol,% of Portfolio,Cost Basis,Close_x,Day_x,# of Shares,Close_y,Day_y,Current_Value,Perc_Return
0,0,Trudy Seeber,BIG,0.2,50853.2974,53.6500015258789,2020-10-16 00:00:00,947.8713132090056,47.599998474121094,2020-10-30 00:00:00,45118.67306241183,-0.11276799402959004
1,1,Trudy Seeber,BIP,0.175,44496.63522,46.86000061035156,2020-10-16 00:00:00,949.5653999238427,42.900001525878906,2020-10-30 00:00:00,40736.357105654664,-0.08450702161531509
2,2,Trudy Seeber,MRK,0.175,44496.63522,79.83000183105469,2020-10-16 00:00:00,557.3923863132163,75.20999908447266,2020-10-30 00:00:00,41921.48086430903,-0.057873013160633535
3,3,Trudy Seeber,$,0.45,114419.9191,1.0,2020-10-16 00:00:00,114419.9191,1.0,2020-10-30 00:00:00,114419.9191,0.0
4,4,Melissa Stamper,NVDA,0.39,83369.76959,552.4600219726561,2020-10-16 00:00:00,150.9064299210529,501.3599853515625,2020-10-30 00:00:00,75658.44549467567,-0.09249544688977118
5,5,Melissa Stamper,RDN,0.3,64130.59199,17.75,2020-10-16 00:00:00,3612.991098028169,17.950000762939453,2020-10-30 00:00:00,64853.192966099086,0.011267648616307246
6,6,Melissa Stamper,SQ,0.11,23514.5504,186.3500061035156,2020-10-16 00:00:00,126.18486519897344,154.8800048828125,2020-10-30 00:00:00,19543.512538154042,-0.16887577241731788
7,7,Melissa Stamper,PYPL,0.2,42753.72799,204.4499969482422,2020-10-16 00:00:00,209.1158162297424,186.1300048828125,2020-10-30 00:00:00,38922.727895915275,-0.08960622322761647
8,8,Michael Brandt,AVXL,0.75,157172.6448,4.8400001525878915,2020-10-16 00:00:00,32473.68591836958,5.900000095367432,2020-10-30 00:00:00,191594.75001531254,0.21900824573585398
9,9,Michael Brandt,ETSY,0.15,31434.528960000003,147.58999633789062,2020-10-16 00:00:00,212.98549861085567,121.58999633789062,2020-10-30 00:00:00,25896.905996117748,-0.1761637010985212
10,10,Michael Brandt,FVRR,0.1,20956.35264,173.3800048828125,2020-10-16 00:00:00,120.86948927106327,146.4199981689453,2020-10-30 00:00:00,17697.71039775044,-0.15549663141427095
11,11,Maggie Mahota,PENN,0.02,4236.223516,70.91000366210938,2020-10-16 00:00:00,59.740844693590354,53.97999954223633,2020-10-30 00:00:00,3224.8107692128187,-0.23875339508577065
12,12,Maggie Mahota,POR,0.05,10590.55879,37.25,2020-10-16 00:00:00,284.31030308724837,39.29999923706055,2020-10-30 00:00:00,11173.394694417313,0.05503353656538379
13,13,Maggie Mahota,OSTK,0.08,16944.89406,77.01000213623047,2020-10-16 00:00:00,220.03497714523542,56.099998474121094,2020-10-30 00:00:00,12343.961882100977,-0.2715232188296741
14,14,Maggie Mahota,MGM,0.02,4236.223516,21.239999771118164,2020-10-16 00:00:00,199.44555374997483,20.56999969482422,2020-10-30 00:00:00,4102.59497977103,-0.031544260052441264
15,15,Maggie Mahota,PETS,0.08,16944.89406,31.75,2020-10-16 00:00:00,533.6974507086613,29.579999923706055,2020-10-30 00:00:00,15786.770551244319,-0.06834645909587234
16,16,Maggie Mahota,PINS,0.02,4236.223516,44.060001373291016,2020-10-16 00:00:00,96.14669505135288,58.95000076293945,2020-10-30 00:00:00,5667.847746631359,0.3379482279969852
17,17,Maggie Mahota,CVNA,0.05,10590.55879,221.33999633789062,2020-10-16 00:00:00,47.847469798602454,185.35000610351562,2020-10-30 00:00:00,8868.528819208745,-0.16260048265038285
18,18,Maggie Mahota,UPS,0.25,52952.79395,174.44000244140625,2020-10-16 00:00:00,303.5587778542175,157.11000061035156,2020-10-30 00:00:00,47692.11977395369,-0.09934648927143741
19,19,Maggie Mahota,KHC,0.1,21181.11758,32.15999984741211,2020-10-16 00:00:00,658.6168432990347,30.59000015258789,2020-10-30 00:00:00,20147.089337014426,-0.048818398702528465
20,20,Maggie Mahota,TGT,0.08,16944.89406,164.9199981689453,2020-10-16 00:00:00,102.74614508933912,152.22000122070312,2020-10-30 00:00:00,15640.018330921741,-0.07700701606382632
21,21,Maggie Mahota,ZG,0.25,52952.79395,97.87000274658205,2020-10-16 00:00:00,541.0523394702705,89.33000183105469,2020-10-30 00:00:00,48332.20647557568,-0.08725861526376222
22,22,David Hunn,ZM,0.38,67662.37556,559.0,2020-10-16 00:00:00,121.04181674418604,460.9100036621094,2020-10-30 00:00:00,55789.384198831154,-0.17547405427171847
23,23,David Hunn,PTON,0.38,67662.37556,131.33000183105472,2020-10-16 00:00:00,515.2088221779065,110.20999908447266,2020-10-30 00:00:00,56781.16382053932,-0.16081628304362028
24,24,David Hunn,REGN,0.24,42734.13193,599.739990234375,2020-10-16 00:00:00,71.25443129663529,543.5599975585938,2020-10-30 00:00:00,38731.058501638065,-0.09367391468063757
25,25,Amy Acerra,TSLA,0.7,142502.6443,439.6700134277344,2020-10-16 00:00:00,324.11272078581777,388.0400085449219,2020-10-30 00:00:00,125768.70294324661,-0.11742898834582127
26,26,Amy Acerra,AMZN,0.1,20357.52062,3272.7099609375,2020-10-16 00:00:00,6.220386426840094,3036.14990234375,2020-10-30 00:00:00,18886.02564239094,-0.07228262248023498
27,27,Amy Acerra,SAM,0.1,20357.52062,946.8400268554688,2020-10-16 00:00:00,21.50048587152462,1039.1800537109375,2020-10-30 00:00:00,22342.87606278221,0.09752442253855431
28,28,Amy Acerra,VFC,0.1,20357.52062,75.81999969482422,2020-10-16 00:00:00,268.49803088814417,67.19999694824219,2020-10-30 00:00:00,18043.066856292324,-0.1136903558596356
